n,AA,Rg_mean,Rg_std,Ree_mean,Ree_std,CO_mean,CO_std
28,K,3.4943814,3.4561548,8.829678,8.829445,0.30761318717679653,0.0657344377162523
28,L,1.1946192,0.012916954,3.970043,0.08232355,0.34523809523809523,0.0
28,S,1.3013667,0.41172877,3.4198945,1.6345987,0.34480952380952384,0.006762743073454069
29,E,1.5292382,1.080103,4.1007204,3.568005,0.34072180714523587,0.023236499187782065
29,G,1.6028439,0.5682226,4.138343,2.1201155,0.34368462499747504,0.011004676919933178
29,K,3.6882114,3.2302577,9.319618,8.576013,0.30169130532599037,0.0656751756605999
29,L,1.2346033,0.014559035,4.1046257,0.086003944,0.34482758620689663,5.551115123125783e-17
29,S,1.3055133,0.39735237,3.4496777,1.8420593,0.344649369850757,0.0016673415512908688
30,E,1.5388482,0.94161916,4.169988,2.8796613,0.34152265046086744,0.018936128351641615
30,G,1.6693984,0.70018804,4.393418,2.5974784,0.3423733530873876,0.014563443466136982
30,K,4.277278,4.485552,11.3786955,12.648957,0.29508706853780253,0.07013344415999967
30,L,1.2722113,0.017704237,4.2170014,0.109903656,0.34444444444444444,0.0
30,S,1.3270311,0.3705739,3.4436457,1.6325063,0.3442188312837902,0.002833565747987796
31,E,1.5213498,0.73396915,4.0158606,2.275965,0.3418995468999924,0.015069944373721453
31,G,1.6534041,0.61353356,4.177875,2.368037,0.3426508649902535,0.009762503414907414
31,K,3.531617,2.7523167,8.991998,7.423908,0.3027360773231062,0.0636839757144716
31,L,1.3128564,0.014909348,4.3752656,0.08319431,0.34408602150537637,5.551115123125783e-17
31,S,1.3777335,0.41161865,3.5509326,1.6700311,0.34397390029325514,0.0017692428848733368
32,E,1.6117878,0.82534134,4.433561,3.1128361,0.3416001827853628,0.01436857406691811
32,G,1.7098584,0.81024057,4.579712,3.5268252,0.3428678612891172,0.004257864270306059
32,K,3.8298457,3.306569,9.9428215,10.149371,0.3019260072848016,0.06272851425181201
32,L,1.352124,0.01658874,4.5191917,0.09173554,0.34375,0.0
32,S,1.3448474,0.40976313,3.4204855,1.7068069,0.34373026315789473,0.00021978017221697586
33,E,1.6136848,0.9608486,4.3880234,2.7640145,0.33921723744656823,0.023144710090888213
33,G,1.7721243,0.67852026,4.6401033,2.7082617,0.34007122589080674,0.015910846982822205
33,K,3.2581422,2.5705812,8.393812,7.454965,0.3083058555007076,0.059573094010825126
33,L,1.3924232,0.016463058,4.644234,0.09905414,0.3434343434343434,0.0
33,S,1.4174495,0.41543835,3.6570268,1.732174,0.34340321734245394,0.0003507452989733096
34,E,1.5529882,0.62171084,4.253045,2.0161824,0.3411360724013864,0.016260954831895272
34,G,1.7642422,0.67926925,4.517225,3.1358898,0.3405679886635615,0.013075820504516772
34,K,3.3666735,2.8361151,8.51599,7.5981345,0.30739489656664376,0.05993467139950998
34,L,1.4344412,0.01904167,4.7876935,0.1508326,0.3431372549019608,0.0
34,S,1.4649779,0.46055537,3.6627824,1.923652,0.34282405800695415,0.0020489088440769246
35,E,1.6787955,1.5791575,4.942606,9.321364,0.3415394955191607,0.012895652540724547
35,G,1.7917593,0.7503004,4.5067687,2.6206408,0.3389282430067998,0.015818608043189002
35,K,3.294312,2.2505422,8.291793,5.9456367,0.3062728138328278,0.05895593336270203
35,L,1.4737209,0.018958079,4.9361386,0.10931688,0.3428571428571429,5.551115123125783e-17
35,S,1.4674083,0.51823825,3.65729,2.0692976,0.3422640070602923,0.006186799909209337
36,E,1.6605115,1.0972856,4.8148603,6.1957555,0.34041411011975276,0.015990563647058947
36,G,1.8997214,0.78001434,4.9319353,3.1632564,0.337418871425868,0.020466893805793595
36,K,3.5961637,2.979246,9.566924,10.911926,0.3044981945303042,0.058399465975967964
36,L,1.515218,0.031912334,5.0804834,0.19852842,0.3425925925925926,0.0
36,S,1.5642462,0.511061,4.0205393,2.0087204,0.3419412817829772,0.005499089307932503
37,E,1.6122754,0.7772551,4.514371,4.220825,0.3413573134474583,0.010412710424302113
37,G,1.9113746,0.6605195,4.9643974,2.453398,0.33871483593388024,0.014922759932735763
37,K,3.7226086,2.762006,9.320948,6.5364256,0.29609101279116967,0.06483183219196714
37,L,1.5525645,0.021160709,5.185786,0.16813901,0.34234234234234234,0.0
37,S,1.5263634,0.5410006,3.9007463,2.103404,0.3410642002205685,0.007971977317112295
38,E,1.6862912,0.77617216,4.668398,3.364862,0.33910214679952333,0.020147464296621682
38,G,1.8380066,0.885998,4.802918,4.7092943,0.33763133008949686,0.014779526773403207
38,K,3.7572281,2.6325788,9.70789,7.4843907,0.2958976383751855,0.06361977275124985
38,L,1.5950732,0.023805225,5.351595,0.14945412,0.34210526315789475,0.0
38,S,1.640285,0.5826791,4.1578517,2.2093744,0.3405794782398085,0.009615311620093636
39,E,1.6748613,0.72104263,4.668165,3.2896607,0.3405478744313696,0.013156617048782949
39,G,1.7675363,0.7820141,4.360501,3.5629075,0.3389067351462116,0.013341510657323306
39,K,3.6544333,2.5060322,9.456733,7.8944607,0.29619245664405547,0.06317703955561671
39,L,1.6381147,0.04135724,5.5216727,0.23431332,0.3418288470404653,0.0008125748672859669
39,S,1.558492,0.5110913,3.712438,2.0792742,0.3409500375079282,0.005721928527521213
40,E,1.9048743,1.9671979,5.9465117,12.508622,0.33949418725022984,0.012990132944065957
40,G,1.8696414,1.272641,4.9401197,7.582676,0.33793151985863257,0.01215928168027571
40,K,3.5278285,2.2182744,9.093433,7.3325534,0.29730104703929805,0.06175251745090813
40,L,1.6702486,0.060570277,5.6016083,0.35578895,0.34166666666666673,5.551115123125783e-17
40,S,1.7719034,1.6062814,4.81408,10.509596,0.3399717785158817,0.007881119504143786
41,E,1.6549724,0.33731616,4.6100926,1.7036389,0.341240020101816,0.0018762455747711351
41,G,1.810664,0.76298237,4.5171027,2.7484572,0.33686341574278006,0.014705039873791667
41,K,3.736197,2.3866584,9.589766,7.089357,0.2934916450339917,0.062490431480707376
41,L,1.7124648,0.022062996,5.7612596,0.10353494,0.3414634146341463,5.551115123125783e-17
41,S,1.6145474,0.5971354,4.0199385,2.5081427,0.34017672476879207,0.005972761555732042
42,E,1.7013571,0.39829043,4.7370863,1.7648345,0.3407325489699134,0.004161920477145904
42,G,1.8019785,0.7597266,4.4065633,2.7692637,0.3363589697674822,0.014627266445915894
42,K,3.7221153,2.1688309,9.711917,6.87604,0.29632378677338456,0.05860979967622796
42,L,1.7559732,0.023852272,5.9221315,0.10061108,0.34126984126984133,5.551115123125783e-17
42,S,1.5602356,0.6237168,3.6618078,2.280563,0.3388678626901306,0.011392968902213078
43,E,1.760314,0.6393495,4.833986,1.8976219,0.3382000336730898,0.018156273284263537
43,G,1.7229072,0.7530906,4.0754304,3.1341836,0.33737550971944347,0.01554935794044598
43,K,3.9775887,2.8509364,9.91269,7.5092382,0.2899182684429906,0.06171798882771496
43,L,1.7913364,0.04516688,6.0400486,0.32852182,0.3410852713178295,5.551115123125783e-17
43,S,1.5773888,0.613284,3.8158514,2.44689,0.3393374085563438,0.009554946747506229
44,E,1.7789174,0.530259,5.1698623,1.8428639,0.33908308064148945,0.014739083439368349
44,G,1.8155816,0.8045502,4.373361,3.4579113,0.3369683811775217,0.015563379816123902
44,K,3.7428174,2.0810893,9.534542,5.5677614,0.2921966007119155,0.06044897047589291
44,L,1.8306261,0.048009407,6.1702485,0.28988636,0.3409090909090909,0.0
44,S,1.6007059,0.5674809,3.633953,2.2438028,0.33975012354388595,0.0073109055170850834
45,E,1.804488,0.47454253,5.203983,2.2581306,0.3387956551037219,0.015593707307359355
45,G,1.5666519,0.6533919,3.4564614,2.192282,0.33828190129182883,0.014421155074200604
45,K,3.9999785,2.4450603,10.087902,7.9662347,0.2857120905432646,0.06341459824795605
45,L,1.875275,0.024242885,6.33005,0.14004216,0.3407407407407407,5.551115123125783e-17
45,S,1.5962645,0.58679575,3.623659,2.1443272,0.33875405469800585,0.011506272702786747
46,E,1.8447009,0.6660289,5.619967,4.3106575,0.3396748668684497,0.008787530310881106
46,G,1.6545047,0.6602784,3.8865213,2.6092556,0.3382149420224849,0.009974102749003533
46,K,3.8368857,2.240021,10.206055,8.053484,0.29083469141728335,0.059076696325781754
46,L,1.9146987,0.025852777,6.480652,0.13737923,0.3405797101449276,5.551115123125783e-17
46,S,1.6473067,0.7434576,3.845184,2.6498086,0.337118004906244,0.015933964535015607
47,E,1.8274983,0.3670971,5.3392324,1.8408594,0.3395982090013848,0.009740435925479546
47,G,1.70246,0.86987287,4.279254,4.4872847,0.3376917414613619,0.014513632825943746
47,K,4.143636,2.5348492,10.615281,6.709212,0.2825812188623308,0.06147972178228089
47,L,1.9475232,0.06983825,6.567745,0.41653967,0.34042553191489355,5.551115123125783e-17
47,S,1.700308,0.61599016,4.108634,2.316939,0.33788078183459275,0.0114200854099845
48,E,1.9239575,0.5571382,5.6527176,2.0485835,0.338202407393237,0.015127950772995905
48,G,1.598321,0.64642125,3.6661432,2.9110024,0.3381140820471826,0.011700612830919102
