aa,n,kd,Rg_mean_A,Ree_mean_A
V,49,4.2,1.9546412229537964,6.303860187530518
V,50,4.2,1.9650156497955322,6.219751834869385
I,4,4.5,0.6168281435966492,1.4605032205581665
I,5,4.5,0.5187047123908997,1.2414238452911377
I,6,4.5,0.4410426616668701,1.1143008470535278
I,7,4.5,0.47684478759765625,1.2448152303695679
I,8,4.5,0.5110511779785156,1.3505314588546753
I,9,4.5,0.6199971437454224,1.7314839363098145
I,10,4.5,0.5702548623085022,1.645177960395813
I,11,4.5,0.7284167408943176,2.1846494674682617
I,12,4.5,0.6063185334205627,1.7789291143417358
I,13,4.5,0.6283568739891052,1.9111204147338867
I,14,4.5,0.6586039066314697,2.0395700931549072
I,15,4.5,0.7022709846496582,2.1649351119995117
I,16,4.5,0.7876168489456177,2.535402774810791
I,17,4.5,0.7636590003967285,2.4311234951019287
I,18,4.5,0.8019520044326782,2.5674843788146973
I,19,4.5,0.9413835406303406,3.140915870666504
I,20,4.5,0.8783032298088074,2.8336853981018066
I,21,4.5,0.9179612398147583,2.9864754676818848
I,22,4.5,0.9575633406639099,3.1119062900543213
I,23,4.5,0.9992443919181824,3.2520434856414795
I,24,4.5,1.0540378093719482,3.4984827041625977
I,25,4.5,1.080750823020935,3.5674781799316406
I,26,4.5,1.1199511289596558,3.6838178634643555
I,27,4.5,1.161586880683899,3.8240678310394287
I,28,4.5,1.1998852491378784,3.9860329627990723
I,29,4.5,1.238864779472351,4.106697082519531
I,30,4.5,1.2761701345443726,4.224026203155518
I,31,4.5,1.317486047744751,4.37770414352417
I,32,4.5,1.3524701595306396,4.500694751739502
I,33,4.5,1.3841594457626343,4.599199295043945
I,34,4.5,1.420013189315796,4.719443321228027
I,35,4.5,1.4537907838821411,4.843892574310303
I,36,4.5,1.4986933469772339,5.003118515014648
I,37,4.5,1.5378063917160034,5.142200946807861
I,38,4.5,1.5735952854156494,5.255187034606934
I,39,4.5,1.6085808277130127,5.3864827156066895
I,40,4.5,1.6409202814102173,5.483130931854248
I,41,4.5,1.6881153583526611,5.664658546447754
I,42,4.5,1.725665807723999,5.80225133895874
I,43,4.5,1.7599722146987915,5.918763160705566
I,44,4.5,1.7755390405654907,5.89572286605835
I,45,4.5,1.8088144063949585,6.0255208015441895
I,46,4.5,1.8546338081359863,6.227677822113037
I,47,4.5,1.856332540512085,6.141250133514404
I,48,4.5,1.9189711809158325,6.453255653381348
I,49,4.5,1.9170490503311157,6.340245246887207
I,50,4.5,2.0591177940368652,7.204378128051758
F,4,2.8,0.6138885617256165,1.457445502281189
F,5,2.8,0.41733500361442566,0.989456295967102
F,6,2.8,0.6467267870903015,1.6648815870285034
F,7,2.8,0.47318822145462036,1.2288357019424438
F,8,2.8,0.49209997057914734,1.311650276184082
F,9,2.8,0.4988645017147064,1.3968349695205688
F,10,2.8,0.5192207098007202,1.5278064012527466
F,11,2.8,0.5463393330574036,1.6204417943954468
F,12,2.8,0.5772534012794495,1.701751470565796
F,13,2.8,0.6121281981468201,1.8727372884750366
F,14,2.8,0.6741687059402466,2.132289409637451
F,15,2.8,0.685373067855835,2.13057279586792
F,16,2.8,0.7225770354270935,2.254788637161255
F,17,2.8,0.7606699466705322,2.431476354598999
F,18,2.8,0.8003972172737122,2.56904935836792
F,19,2.8,0.839735746383667,2.677377939224243
F,20,2.8,0.8806219696998596,2.8413965702056885
F,21,2.8,0.9186837077140808,2.9897778034210205
F,22,2.8,0.9574799537658691,3.1133337020874023
F,23,2.8,0.9989871382713318,3.260669469833374
F,24,2.8,1.0371989011764526,3.4066789150238037
F,25,2.8,1.0767935514450073,3.548982620239258
F,26,2.8,1.1169573068618774,3.670625925064087
F,27,2.8,1.1557265520095825,3.8073604106903076
F,28,2.8,1.1943955421447754,3.957308769226074
F,29,2.8,1.2357878684997559,4.092446804046631
F,30,2.8,1.27375066280365,4.208192348480225
F,31,2.8,1.3121895790100098,4.36436653137207
F,32,2.8,1.3502209186553955,4.512765407562256
F,33,2.8,1.3920572996139526,4.639132976531982
F,34,2.8,1.428037405014038,4.751571178436279
F,35,2.8,1.4697870016098022,4.919595718383789
F,36,2.8,1.511154294013977,5.070617198944092
F,37,2.8,1.547243595123291,5.166406154632568
F,38,2.8,1.5862581729888916,5.311250686645508
F,39,2.8,1.6239111423492432,5.455357551574707
F,40,2.8,1.6646546125411987,5.5918684005737305
F,41,2.8,1.7052717208862305,5.7237958908081055
F,42,2.8,1.741211175918579,5.854513645172119
F,43,2.8,1.7823805809020996,6.028820991516113
F,44,2.8,1.817885160446167,6.102182388305664
F,45,2.8,1.8562138080596924,6.25959587097168
F,46,2.8,1.8901519775390625,6.378328323364258
F,47,2.8,1.9182063341140747,6.467040061950684
F,48,2.8,1.9679497480392456,6.643557548522949
F,49,2.8,1.9934405088424683,6.7247748374938965
F,50,2.8,2.036039113998413,6.872111797332764
