Y_observable,n,log_n,sqrt_n,hydrophobicity,hydrophobicity_x_n,charge,charge_x_n,mw,mw_x_n,volume,volume_x_n,flexibility,flexibility_x_n,abs_charge,cat_PolyX_original,is_homopolymer,is_linker,is_heteropolymer,is_dms,complexity,cat_L1_hydrophobic,cat_linker,cat_HET_BLOCK,cat_HET_ALT,cat_HET_COMP,cat_HET_KAPPA,cat_HET_IDP,cat_DMS_protein,complexity_x_n,hydrophobicity_x_charge,hydrophobicity_abs
fluct_range_ratio,0.12014778989566238,0.05067832671517267,0.08845923639989509,0.0021260560237956303,0.06108567894705649,0.0005769672143105545,0.23896356990613085,0.0011843941606110658,0.015768101627469222,0.0012717283040330628,0.11306559604265817,0.0002823729390374205,0.039130216984898054,0.00015896842022430007,0.002201795873580614,0.0,0.0012220661589692934,0.0021211844517320154,0.03478685552469949,0.021827698765640623,0.01120096610780593,0.0012869072332836332,0.0028476681866876096,6.72791084502967e-05,0.0012435785571166022,0.015747681394852678,0.0017921685492008786,0.009370258394200037,0.1468957015132963,0.002291983016712126,0.012197203582816868
rmsf_entropy,0.1599297906165931,0.14629123229743451,0.12085225644993727,0.014411663261839968,0.0950946877251512,0.0003737189930513604,0.02266534661931804,0.0015290510466663301,0.03840260176480396,0.0020491166020336397,0.04418876969122533,0.001047114725424955,0.03779915273009466,0.012827622633957578,0.00033539932316055626,4.986915794376349e-05,0.0002498063181753166,0.0014301179969639522,0.004774328971851048,0.04262355507881846,3.021085686009936e-07,0.0,0.0006226275697309563,0.002227333700622485,0.008948136895558711,0.00017000679857489333,0.008211917351714065,0.024292893602590095,0.20544992441742263,0.00015530459676606415,0.0029963509540063414
mardia_skewness,0.061758234345440886,0.0606037587055203,0.04467174802238517,0.0001522983282216992,0.002041527131041643,3.884271926125395e-05,0.004152117059667949,0.000626620549975314,0.018192159656876865,0.0002539009069365468,0.021417441242851255,0.00011749018833730012,0.07738070341634659,7.678171700281806e-05,4.796318425768491e-05,0.0,2.7839580539019904e-05,5.146476069647779e-05,0.004798900850625406,0.12316603803937942,0.00014985969800481087,1.2256511168293633e-05,6.373900195574472e-05,0.0008650075800439303,0.0009758838769223465,0.0005993194281781263,0.11145031086577618,0.016096058211462077,0.4399925841043083,6.768281656604836e-06,0.010212382035159982
mardia_kurtosis,0.08862108085395859,0.07365715941476621,0.12003396709837527,0.00088618001838796,0.0008439515311619183,0.00045124160011848335,0.00022817386582512104,0.00029440330029800873,0.03133218407472607,6.165937250583476e-05,0.045335251768827196,4.9350716862098325e-06,0.03811345152229454,9.822667720748553e-07,7.029402975269197e-05,0.0,4.385749856452581e-05,0.00042190877655139564,0.008446382239655815,0.04420087247940976,0.00012989839807800606,9.889810445628389e-05,5.246987604181643e-05,0.0006009765581337726,0.0018566196090199873,0.00027201552837433296,0.058947474035053106,0.01418561019361283,0.4672092458535168,0.0004565085295900432,0.003142346530485336
corr_dim,0.09721165393376005,0.024748716039486408,0.17099188505568716,0.0001417232974739433,0.015246852814240163,0.0,0.1266454499757086,2.79120342143582e-05,0.028681401773983855,0.0003148534986539006,0.26941659004654833,7.969959876570409e-06,0.01102508667321494,0.0,8.622553833010754e-05,0.0,4.378603277949875e-05,8.233334374721129e-05,0.014843099111555841,0.09728407558908302,6.317024063535159e-05,2.8495032368156235e-05,0.0003165104328651336,0.000204658681047225,1.3394042907141817e-06,0.001109582122094975,0.010480579808289002,0.015899464950551,0.11476731988696126,0.0,0.0003292647225530974
mean_knn_dist,0.03510737061719236,0.016668616916001758,0.11211315063618933,0.0018912031749715025,0.021331311854744354,0.000810555412635074,0.24503981382694562,0.00014709449847949763,0.03724705251265598,0.0011866575189330186,0.05344510507827052,0.0002374410245174232,0.07460927009214074,0.002311724816958743,0.0005791218532599058,0.0,0.0005824419815816137,0.00015365230499560047,0.12341686553646598,0.09544762466422119,7.149098024779217e-05,0.0009534429882979295,0.0012241549438498785,0.00032450618146794317,0.0012418316679308206,0.00298574199003316,0.01306556732878237,0.0005048374409711141,0.15557246704478023,0.000592336915220717,0.0011375481972578367
condition_number,0.06481238739184049,0.03651700316856104,0.08740696932498646,0.020754924559379093,0.3374603697649451,3.500598739844263e-05,0.00012812713072561763,0.0021301936371833237,0.023162756931629388,0.0029842633877797896,0.034811100443136386,0.0010270144248748327,0.06998171445950231,0.0,0.0009839460374420526,0.0,0.001163198505256559,0.0005009825663412515,3.616928446187005e-06,0.009347001321422162,0.0022977114682319294,1.6752593436086135e-05,0.002624237803597718,0.0028734387448905623,0.0001731121860458986,0.01055413101356268,0.004421913016858566,7.562652548256735e-06,0.27038274793067846,7.04280045769942e-06,0.013430773818841751
spectral_gap,0.047734720243478,0.0469231348651111,0.040173969871905316,0.004216369172597224,0.14489321622674312,0.0003575094038672945,0.0833097784175048,0.005445429588979873,0.12015237835248137,0.0018137223558950567,0.19821189231034803,0.002715708562956528,0.12665603427599692,8.280236591845181e-05,0.004941718823729649,0.0,0.003309656621486391,0.000626646300908483,0.0008577942843845663,0.00014535908625331668,0.003560908856534087,0.0013741821964502563,0.008243208419555677,0.014948601089694459,0.0003063415759364269,0.01824930099866582,6.049611562105105e-05,0.0,0.11736784094604516,2.871322033906308e-05,0.0032925654506123997
spectral_gap_ratio,0.03793679462792257,0.048796529490844905,0.04594923349791351,0.016470667157298374,0.20605639304545173,0.0,0.07972102126144258,0.0018405410315081073,0.10864426060749241,0.008260361643024907,0.17983718336742377,0.007404294048232434,0.10869810200596193,0.0017004393865433128,0.015046201332743694,0.0,0.0043182123938259095,0.0,0.0002663032800781597,0.00683137251096538,0.00028859428762658047,0.005085938590491618,0.0047770571487278325,0.002323291109742112,0.004454125639360089,0.007807032769477933,0.00017204232468931741,0.00012687026685631665,0.07652155470316246,0.0003534351882832581,0.020312147282908765
fisher_trace,0.1854729482219564,0.035141300050315724,0.13703636649587295,4.3053299279215027e-16,9.942641918642975e-14,0.0,2.1563216718913333e-16,2.589518565169407e-15,0.003302881417672257,7.815304949060373e-16,0.41673876085976935,0.0,0.034608047484817134,0.0,7.079616018540635e-16,0.0,0.0,0.0,0.1396603964174735,0.019420416096121763,8.32114525571251e-16,0.0,0.0,0.0,1.2424067488138155e-15,5.76134014925192e-16,0.00023985172640030727,0.02564085168547219,0.0027381795440173436,0.0,3.925136092711413e-15
fisher_logdet,0.24876989775611175,0.005797767146365868,0.18049197741304107,0.00084141993399098,0.005204104560845287,1.7966615042328865e-05,0.00013198049826588072,6.907393809123592e-05,0.03462320056258487,4.811465230120282e-05,0.05964127256402574,1.0884504575513241e-05,0.00737888976642893,0.0,0.0,0.0,7.990445286233931e-06,2.1819016189359734e-05,0.30861007500594095,0.10651103620033173,3.892600497125717e-06,3.427192287781976e-05,2.771375113481286e-05,1.1265984802271779e-05,9.633583289964586e-05,0.0004883414071478079,0.005659046499171235,0.02525573045020679,0.009921701883716964,4.775878130254801e-05,0.0002764703068238687
effective_diffusion,0.05980011249827965,0.07228690047408239,0.04107046947431264,0.015556232678115085,0.23099003944015456,0.0010125843033418497,0.06662926097365021,0.0037395735127590383,0.1510287668313173,0.004951741480856804,0.1273794323449201,0.00445692871587532,0.08421800093756728,0.0,0.00550607681604379,0.0003814898769297511,0.002845777648381882,0.00041641486558579243,0.0004735060709184077,0.001354773080999104,0.006954994200468873,0.0067860136518306125,0.015356418776327579,0.0056738382433169495,0.004157795280626866,0.0,0.0,0.0,0.06530349215459622,0.0003088724866054284,0.021360493182136564
relaxation_time,0.08350422219218971,0.04384828799185304,0.07090953710070172,0.00845984131436826,0.10464721110095841,0.0008047487972072079,0.1672716724452015,0.01334446632854283,0.13089930588087983,0.0070046961684230545,0.12605641856303001,0.00799714499603587,0.10453912005881841,0.0,0.011977343828639787,0.0,0.0005321866153090903,0.0003079740109988294,0.0004527151724502056,0.0023655344609928575,0.001135066356514407,0.0005879777071779757,0.006044247497530147,0.0047321171065783105,0.0026062479868333363,0.00024936799695502067,0.0036008708813049127,0.000179620156482317,0.08092870443595036,0.0015500005821051212,0.013463352265967305
contact_order,0.2065592992998082,0.0993504399119069,0.15374477528104225,3.551886658970118e-07,2.19591291987005e-06,1.401525996540702e-08,0.0,0.0,0.0018693101392587316,2.17414533535087e-08,0.20013678148875477,1.725237050929705e-07,0.005203539205563183,0.0,6.582719235064951e-11,4.086965103508111e-06,0.00015487258803015809,0.00038733609907026757,0.10198039789493805,0.05005548827567893,2.7312713795041534e-09,9.39808952238927e-05,0.0002038677875345026,0.00021883430295182189,0.0018729501279799517,0.0019835812793136433,0.015049289592403299,0.07577946443831358,0.0853397972033794,0.0,9.145044642307862e-06
clustering_coeff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modularity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betweenness_cv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
