seq_id,aa,n,n_frames,tau1_rg_ps,tau1_rg_r2,tau1_rg_nfit,tau1_rg_int_ps,tau1_rg_flag,tau1_e2e_ps,tau1_e2e_r2,tau1_e2e_nfit,tau1_e2e_flag,rg_mean_A,rg_std_A
PolyX_linker_PolyGGGGS_25,LNK,25,1000,173.46395809089304,0.686923957530545,128,-0.008439648564035451,ok,92.9055458598413,0.3433617064815434,111,ok,6.614141488578857,0.42673675818837603
PolyX_linker_PolyGGGGS_30,LNK,30,1000,97.00606833549243,0.8361187540495242,71,-0.001220667705155165,ok,35.28652322094545,0.6787690058625262,37,ok,7.348103817472838,1.24551253486664
PolyX_linker_PolyGGGGS_35,LNK,35,1000,37.915533551469885,0.5718138855416244,45,-0.008679026988691607,ok,187.2404549711568,0.42079267384727614,96,ok,7.281333981772122,0.21863423309345997
PolyX_linker_PolyGGGGS_40,LNK,40,1000,38.951468463803195,0.12019522154038997,88,0.0002790658123501544,ok,167.96086152210202,-0.08320540413165967,211,ok,8.03175818064663,0.3115768656300121
PolyX_linker_PolyGGGGS_45,LNK,45,1000,104.8945315324267,0.8478057974578947,86,0.009296950685865113,ok,78.49962107358682,0.79815855064561,38,ok,7.661100031279,0.3629866618996133
PolyX_linker_PolyGGGGS_5,LNK,5,1000,15.191058586069426,0.5219582211012378,13,0.004515660181876768,ok,10.560951521201659,-0.031114243882657044,13,ok,4.341685740541723,0.44202535590690045
PolyX_linker_PolyGGGGS_50,LNK,50,1000,740.6164522709857,0.9174768741105969,242,0.004201645177374758,ok,515.5687985136203,0.8992088238426276,183,ok,8.460002343154235,0.5060517268609848
PolyX_PolyA_10,A,10,1000,51.63006727638388,0.47114871594445074,70,-0.005683311075745934,ok,25.76564120949079,0.18086017569505985,38,ok,5.6512716479963485,0.6493373828573729
PolyX_PolyA_15,A,15,1000,115.68462678565658,0.9556763215033542,38,-0.006018950342003393,ok,56.51415128773127,0.6567964874059833,27,ok,7.458204765725996,1.0315378228002643
PolyX_PolyA_20,A,20,1000,16.39917385108064,0.8377237115925916,12,0.00039334435523752376,ok,21.248493042372786,0.7424443316001111,24,ok,9.20285103573204,0.6050750929817914
PolyX_PolyA_25,A,25,1000,434.156633705724,0.9570148731420179,133,0.0008965738896051789,ok,362.3543415937453,0.9385814780097296,128,ok,10.401434032839214,1.5768995294445514
PolyX_PolyA_30,A,30,1000,281.33634126647473,0.6534959499035549,173,0.0024910368997552723,ok,109.842136373644,0.5747536326738307,98,ok,8.510865963714336,0.7495850323498547
PolyX_PolyA_35,A,35,1000,1108.266933780281,0.9319000615914141,297,0.0020676003294965994,ok,973.7058289634703,0.9399437250243464,278,ok,13.931046042539663,1.8600356692472233
PolyX_PolyA_40,A,40,1000,843.5111649244868,0.9752509620710411,266,0.0032827536480226627,ok,842.2210012809577,0.9410064215525048,247,ok,15.548491236790301,3.044753975989431
PolyX_PolyA_45,A,45,1000,1031.3554023550537,0.959808005703054,305,0.0035932556749003197,ok,1039.1125286964805,0.9613299893001485,312,ok,14.705449300487603,3.4609297975549733
PolyX_PolyA_5,A,5,1000,23.596850214926345,0.92672577999109,11,-0.0013994999624244997,ok,21.591444609183718,0.853437393052354,11,ok,4.477079803319348,0.3988482550188348
PolyX_PolyA_50,A,50,1000,885.4502440639571,0.9107686376552641,222,0.0023087190670025848,ok,893.3533226132563,0.9149371642208823,227,ok,14.640048631192066,4.291103660913373
PolyX_PolyE_10,E,10,1000,733.6635399948661,0.9564656124844979,268,-0.001003443523416081,ok,441.6951823347933,0.6258485492163661,208,ok,6.5849654028461515,1.0666285833706362
PolyX_PolyE_15,E,15,1000,273.0230191578543,0.22733244500966243,312,0.0008422609386116164,ok,145.64443610562165,-0.5487411269959057,229,ok,12.017191048531593,1.1372127216489403
PolyX_PolyE_20,E,20,1000,177.5687399922368,0.12486128485851833,219,0.005761096932104692,ok,72.90284796413513,0.2654789184339269,152,ok,14.167385812401559,1.1110071104164538
PolyX_PolyE_25,E,25,1000,301.72449544817465,0.9787936922816112,125,0.0068397210696389266,ok,143.11492321570142,0.795080935775489,93,ok,17.957062703069887,1.9202053939935548
PolyX_PolyE_30,E,30,1000,244.62007616587996,0.4023292754173452,310,-0.00027244939246884314,ok,131.85714322826252,0.2847485975038748,254,ok,24.00149594586603,1.3047800512617218
PolyX_PolyE_35,E,35,1000,357.9211705118856,0.5666402904199241,276,0.001286330349500986,ok,106.7601181345772,0.9776446748038872,46,ok,28.240790695093168,1.8019379594286626
PolyX_PolyE_40,E,40,1000,296.75694630525646,0.7347284814303503,236,0.00959017610217927,ok,195.363230642728,0.7045303206352993,181,ok,30.05520225507477,1.7129731236127186
PolyX_PolyE_45,E,45,1000,630.1412447163882,0.9561803255547149,215,0.001767967512478208,ok,429.5261009570398,0.9744797857525156,143,ok,34.203344090143446,3.9106762444234175
PolyX_PolyE_5,E,5,1000,442.4321510973781,0.5889679431926257,178,-0.0002565561371596914,ok,518.8032810103535,0.7678734242706637,192,ok,3.691553547451428,0.2613759613868765
PolyX_PolyE_50,E,50,1000,193.653621451403,0.885561239429752,127,0.008509600374509318,ok,112.96909412944474,0.3343408005747085,216,ok,39.27702510687508,2.0542464898989237
PolyX_PolyF_10,F,10,1000,64.34978342867748,-0.22954156495324907,60,0.0065517184170929,ok,153.00923184838567,-0.3375442724266533,125,ok,5.264356574340238,0.18307873588962267
PolyX_PolyF_15,F,15,1000,81.54168607979821,0.37824335746211946,56,0.00038044685616966945,ok,56.1488707872451,0.2442130524126368,41,ok,7.000064374132858,0.21902637699513638
PolyX_PolyF_20,F,20,1000,112.62732444332975,-0.27827333930710196,122,-0.0009724844063612181,ok,89.13640129443331,-1.0831738332866392,73,ok,8.95954763389042,0.18788645258666437
PolyX_PolyF_25,F,25,1000,18.13760285673079,-3.488064124412337,36,-0.0005875083758066779,ok,116.85340052685295,-0.1962758718528821,79,ok,11.103268636931462,0.1416499740798989
PolyX_PolyF_30,F,30,1000,46.50699658104584,-1.582774231670808,61,0.0004102283980671473,ok,106.38878193554504,-0.10605789170584945,124,ok,13.14147001879934,0.13789965602821228
PolyX_PolyF_35,F,35,1000,435.442538064264,0.4460407483391563,222,-0.0007489587807185671,ok,374.0356927955537,0.18288881836000337,235,ok,15.142246825270998,0.22496519420542294
PolyX_PolyF_40,F,40,1000,52.34448213265963,-5.076300383503793,75,-0.002623265131671104,ok,171.52923594949488,0.006361269196583974,121,ok,17.29903926528406,0.1367670446960992
PolyX_PolyF_45,F,45,1000,278.1516737999339,0.24347203977723353,152,-7.946146668302845e-05,ok,124.45350073869268,0.3833172299386952,112,ok,19.321106114780815,0.19497805507718116
PolyX_PolyF_5,F,5,1000,43.92006675290834,0.5523900002178861,24,0.0009713251600835804,ok,45.129522698268815,0.25471278694349875,23,ok,4.744440452700217,0.22767027593189534
PolyX_PolyF_50,F,50,1000,20.087285526373893,-0.8636275539464142,20,-8.506366103944174e-05,ok,31.227707846552008,0.8317902998869859,18,ok,21.497689722537494,0.1547656219942342
PolyX_PolyG_10,G,10,1000,44.258439233359944,0.7103326917808264,27,0.0003475477622139067,ok,32.68115746863554,0.5505626274271572,27,ok,5.309399368944362,0.7591663032659518
PolyX_PolyG_15,G,15,1000,72.98010857711915,-0.10684944926354945,153,0.0013464583408477893,ok,86.50236879510766,0.01915113971405491,117,ok,6.038654969287841,1.012086778663093
PolyX_PolyG_20,G,20,1000,132.0077745935784,0.8272667960453307,84,0.0022189323262225003,ok,83.56011526581545,0.7236574125208326,80,ok,6.556896423773873,0.7934773474749772
PolyX_PolyG_25,G,25,1000,88.93643553597705,0.059977950130518765,104,-0.018051840318372925,ok,92.56229497910316,0.3093981749264879,64,ok,6.670142256139963,0.5630157527673608
PolyX_PolyG_30,G,30,1000,168.85810996480245,0.2868701582639577,128,0.0025056462679344804,ok,92.45170776327444,0.22751931635005673,108,ok,7.084449717872664,0.717881047925462
PolyX_PolyG_35,G,35,1000,162.1140469471548,0.6236009405749028,172,0.004331122209805471,ok,91.53305870979963,0.9110916253643937,47,ok,7.930553526410911,0.8513995467420746
PolyX_PolyG_40,G,40,1000,241.58377719059067,0.7788531341849658,112,0.009961146015569966,ok,299.8813392346014,0.5594654456172581,187,ok,7.685228988871846,0.9699477769012862
PolyX_PolyG_45,G,45,1000,140.8165799008325,0.3596652068019769,192,0.000666604353313005,ok,411.63130191212593,0.8293320622893142,168,ok,8.430448595053099,0.9620472915889998
PolyX_PolyG_5,G,5,1000,14.562517130783307,0.9006516606860404,8,0.0009043899977498882,ok,11.913249597501649,0.8601971733259403,7,ok,4.285108351184073,0.4883498193021273
PolyX_PolyG_50,G,50,1000,285.552847254224,0.7531524432480178,126,0.006483831790745853,ok,420.3285294724887,0.7753566498066644,330,ok,8.161680777236931,0.5345942982754822
PolyX_PolyI_10,I,10,1000,184.10196395632923,-0.7894582886655175,142,-0.0039548743789765695,ok,141.8603690176934,-0.8516424120189492,106,ok,6.0804224920989105,0.3236360717613103
PolyX_PolyI_15,I,15,1000,98.06810807058314,-0.9792531747711373,80,-0.0022111268929840833,ok,10.161973675824846,-2.796548682204677,31,ok,7.51775474644416,0.24394410266438654
PolyX_PolyI_20,I,20,1000,52.1838976608046,-0.42949708787405716,66,0.0004973358776574344,ok,51.53925751422798,0.11904126352256006,71,ok,9.401049650537605,0.20693876994650534
PolyX_PolyI_25,I,25,1000,90.37752554826353,-1.9655773380371597,138,1.2010943351015158e-08,ok,316.1814468813302,-0.3762008264738601,217,ok,11.259725001107192,0.4150519823930263
PolyX_PolyI_30,I,30,1000,55.5083861545974,-0.8959503120977201,53,-0.0004080008360247689,ok,72.03370804885124,-1.3780067471596191,71,ok,13.551488406729868,0.3032943937196497
PolyX_PolyI_35,I,35,1000,35.6172072832424,0.06658470627174817,35,-0.001010531731377995,ok,74.63193080429555,-0.9935281303909853,145,ok,15.65357313094593,0.2677882876766573
PolyX_PolyI_40,I,40,1000,323.8166760698092,0.8023230892848984,160,0.0025762738926857764,ok,215.92730638778073,0.07254316103526526,236,ok,17.42934179162784,0.7877861643593487
PolyX_PolyI_45,I,45,1000,12.207296830910854,-2.0157636693967267,35,-0.0009291351723419439,ok,69.9056266229852,-0.043055635150411664,56,ok,19.878526542382772,0.20777893481767468
PolyX_PolyI_5,I,5,1000,407.1544803170852,0.8906353584312604,241,-0.0006598156341794947,ok,375.2316462444101,0.9004558126037984,219,ok,4.3079598167290625,0.4215981117024412
PolyX_PolyI_50,I,50,1000,29.24836185142029,0.6871199080596297,34,-0.0016321347332430847,ok,62.85992876869768,0.4667130052195183,77,ok,22.176648622384306,0.3411933345151458
PolyX_PolyK_10,K,10,1000,138.09269758669066,-0.17019573612718575,89,0.0014098614661861575,ok,119.17527150752676,-1.1525019923096012,88,ok,8.97737926327356,0.5333850188121901
PolyX_PolyK_15,K,15,1000,26.981177918419956,0.2620028359682215,48,-0.00808251302537144,ok,28.945474278241853,0.42532429671401406,51,ok,13.53043328670513,0.6709862345143871
PolyX_PolyK_20,K,20,1000,440.48577328535254,0.9365825212051591,196,0.0101575931358866,ok,270.46857881294994,0.872955975848003,152,ok,15.95102598167498,1.3411239521987304
PolyX_PolyK_25,K,25,1000,61.965295416316664,0.4416617076285747,114,-0.0020527253913371624,ok,231.73591460382664,-1.1789241395688013,272,ok,19.314767718269067,1.2110532364566222
PolyX_PolyK_30,K,30,1000,58.98504555845802,0.5325429053449022,73,-0.00185201613164665,ok,60.53772783671683,0.0753546588532531,90,ok,27.642551235365566,0.9242179429083577
PolyX_PolyK_35,K,35,1000,200.5604939744909,0.8418007378413883,160,-0.0019998152201452513,ok,212.53421393082357,0.8306131529728771,183,ok,31.251821973080663,1.5289335215403388
PolyX_PolyK_40,K,40,1000,229.59464423293804,0.8149711325007654,162,0.01910907798665562,ok,337.9852369725362,0.8275040868827293,159,ok,36.48914882832321,1.4962810063199987
PolyX_PolyK_45,K,45,1000,940.9835587671897,0.9543788876556317,277,0.0035864652020336507,ok,877.7647670187483,0.9687271051763819,279,ok,36.25171297656508,6.364850889665135
PolyX_PolyK_5,K,5,1000,36.980383753310385,-1.9339979380894583,68,-0.0010083984239273036,ok,51.82664170347598,-1.169062240605049,76,ok,4.843135482231188,0.21366974160545338
PolyX_PolyK_50,K,50,1000,189.19788987817557,0.9490074128343337,72,-1.5241789874664846e-06,ok,224.91914850022272,0.9706139667539163,71,ok,44.7453027142925,1.6153066827059408
PolyX_PolyL_10,L,10,1000,,,2,,no_decay_window,,,2,no_decay_window,5.068118041942714,0.1753980733517099
PolyX_PolyL_15,L,15,1000,,,4,,no_decay_window,5.173128769075462,-0.9233744361628105,6,ok,7.026820458677058,0.13718555332588583
PolyX_PolyL_20,L,20,1000,3.4815015999438,-14.811524300537961,10,0.0015797500083456484,ok,125.43663341203346,-2.8419758256306924,98,ok,9.042850592075864,0.1278335865741683
PolyX_PolyL_25,L,25,1000,4.543119216164459,-9.78985894824417,15,0.0006862407039704976,ok,61.699679335430886,-2.0837909689386014,87,ok,11.05171946054281,0.13695537545724734
PolyX_PolyL_30,L,30,1000,3.1111307920992672,-23.934247129470755,7,-0.0013924238446314519,ok,37.33611599789293,-3.635219159113711,82,ok,13.173924208085868,0.12644607171584768
PolyX_PolyL_35,L,35,1000,3.8463219146204324,-34.094306540737215,33,0.00013088376380565592,ok,264.73931907853876,-1.626009202689786,177,ok,15.290167789996081,0.1217872312419162
PolyX_PolyL_40,L,40,1000,1076.8941077220793,0.9481099360122787,304,0.003126712312109703,ok,939.6014210603148,0.968847978071506,306,ok,15.597823415623706,1.621896410878433
PolyX_PolyL_45,L,45,1000,,,3,,no_decay_window,106.8329253065388,-0.5940584894674545,105,ok,19.491548237658666,0.136305730865641
PolyX_PolyL_5,L,5,1000,326.5702122246217,0.49936673211480975,159,0.003004743276363797,ok,436.34222479390326,0.8013822443891061,178,ok,4.078788070585326,0.5519879007854814
PolyX_PolyL_50,L,50,1000,,,3,,no_decay_window,117.12871919041112,-7.307073623472142,209,ok,21.577237922842535,0.14987641220763379
PolyX_PolyS_10,S,10,1000,480.66055581384086,0.8401803993860885,251,-0.0002644202483566005,ok,89.49275559445238,-0.017140750078386224,131,ok,5.591663829643036,0.8025315300686116
PolyX_PolyS_15,S,15,1000,60.82491429346154,0.07495729097105819,82,-0.0009251753318508804,ok,61.37755542302937,-0.05829163907048018,124,ok,6.530170226121543,0.49526338126267955
PolyX_PolyS_20,S,20,1000,478.23724032931153,0.8438244735280448,265,-0.0003921383246847654,ok,237.6492891954183,0.45167932652910125,132,ok,7.055296163293924,0.6130962318831584
PolyX_PolyS_25,S,25,1000,132.38775959608193,0.7983270815077493,103,0.00033884016383467497,ok,169.7472014643891,0.2559698721277205,248,ok,7.5359301350151355,0.5267146475016147
PolyX_PolyS_30,S,30,1000,213.67560543576502,0.9182947028399188,126,0.0007273405333592109,ok,262.33603532449507,0.4418083823026868,157,ok,7.668666754796642,0.34802364127898155
PolyX_PolyS_35,S,35,1000,58.74875813267712,0.11131034798221917,84,0.003235607340457136,ok,69.32136647558987,0.10442099588001985,117,ok,7.901546764661605,0.1658417746672056
PolyX_PolyS_40,S,40,1000,301.09831167129096,0.9161853305949785,155,-0.0002063550609534559,ok,31.721875333892065,-0.5081649226645408,83,ok,9.261819125277638,0.838710619964875
PolyX_PolyS_45,S,45,1000,404.26276032567586,0.7693989160406333,247,-0.001091875456637581,ok,195.24754215116215,0.32349071113709427,161,ok,8.751283865551844,0.21928463727358788
PolyX_PolyS_5,S,5,1000,90.15504751727153,0.14931036895053584,111,0.001970639247225847,ok,90.48369176466879,0.4407572235297247,94,ok,3.985844925263956,0.3943182206515814
PolyX_PolyS_50,S,50,1000,260.5660736366511,0.9724602594472094,91,0.007078048383476698,ok,168.25182455301913,0.8865115356235074,78,ok,9.597110870509109,1.6558264058153105
PolyX_PolyV_10,V,10,1000,498.992975625561,0.45858422576573665,267,0.0031517512482537313,ok,338.1088704364125,-0.15000817129546173,271,ok,6.08637212259889,0.974733854160805
PolyX_PolyV_15,V,15,1000,209.70274960306088,0.5485519581275546,172,-0.0011817281709340932,ok,51.89667747701574,-0.45021208567992566,57,ok,6.732342124121769,0.5646855818016013
PolyX_PolyV_20,V,20,1000,30.348942725248648,0.2632403892056471,62,-0.0002057644868145303,ok,58.534848534858625,-0.8509649024075687,121,ok,9.43151295328525,0.44945474594231405
PolyX_PolyV_25,V,25,1000,262.2053279189997,0.962521418852949,104,0.005006831294977587,ok,249.51386296442715,0.9765519717920275,95,ok,10.71110472506502,1.1555499678441004
PolyX_PolyV_30,V,30,1000,194.0196557490192,0.9150197181339911,95,0.0021259088780993807,ok,158.5803343609257,0.7846235019479643,107,ok,12.793342663633481,0.9019090011324289
PolyX_PolyV_35,V,35,1000,378.98567071885435,0.8917216517312007,212,0.004449286000465236,ok,451.19700320225553,0.916892091267499,219,ok,14.90618439286294,1.1551767463823257
PolyX_PolyV_40,V,40,1000,188.5158837727644,0.9076979593350406,89,-0.0018732835798545011,ok,176.14298712750363,0.8324954714228314,109,ok,17.030457483792524,0.8920824646779546
PolyX_PolyV_45,V,45,1000,111.96727253371789,0.159442873394269,170,0.008458052715639042,ok,115.54369403135613,0.7914387108930032,100,ok,18.34245737352448,1.1996629662815745
PolyX_PolyV_5,V,5,1000,301.9886631970726,0.2426946690177183,201,0.0024346255437137643,ok,282.625062950032,0.4061473779232263,151,ok,4.558123262211954,0.38669555563235114
PolyX_PolyV_50,V,50,1000,583.2215513545393,0.9751628720406187,178,0.005292409408752974,ok,733.9841008648102,0.9386179142873395,226,ok,19.57899485861107,2.2319208296957895
