n,aa,n_res,n_samples,xi_exp,xi_exp_R2,xi_exp_saturated,xi_exp_A,xi_exp_c,xi_log,xi_log_R2,xi_log_p,pl_alpha,pl_R2,spearman_r,spearman_p
9,G,9,250,1258.591874401077,0.7795681797868959,False,2.0015520633169084,-0.999999273476622,10.593253197771954,0.683068157906362,0.011420668238196928,0.002366344134364541,0.5705733133376153,-1.0,0.0
9,K,9,250,70.49650071052285,0.7210777784622915,False,2.028871949075753,-0.9999999794716933,3.240019671353799,0.4857943066387839,0.054704102463410856,0.040687181566606,0.5015904933906524,-1.0,0.0
9,L,9,250,803.1698668448702,0.9878945855293364,False,0.1746027734557513,0.8255699860472469,49.83164883396289,0.9837520234598259,1.3486893494322658e-06,0.001000001579177514,0.8542312579236081,-1.0,0.0
9,S,9,250,1348.3367908914815,0.9876188331435227,False,0.32995066348293445,0.6702224905374953,44.7137839291153,0.9819863275149273,1.8391305242723453e-06,0.0011993001716946988,0.8613633415120981,-1.0,0.0
10,E,10,250,167.4977828593008,0.6988988131745231,False,2.015317628571563,-0.9999999999999999,4.812374512185464,0.480403667135711,0.03843816732643518,0.0186381917994301,0.4757516063921733,-1.0,0.0
10,G,10,250,517.7572245738423,0.9287144650692156,False,2.0020604429893445,-0.9999999849174989,5.7997563172796545,0.8340577217380073,0.0005807248000517701,0.006633625739339305,0.7592660599928023,-1.0,0.0
10,K,10,250,436.1438257840228,0.7269897555661788,False,2.0058115711378837,-0.9999999986199413,6.746913402491382,0.5522495822731657,0.021765260245847448,0.007243751731974435,0.5029966927651531,-1.0,0.0
10,L,10,250,879.0444428612653,0.9541911484831569,False,0.2678857360626445,0.7325106912950615,37.396647871069064,0.941707148256883,1.42455730004083e-05,0.0016798874429666895,0.7700863482213913,-1.0,0.0
10,S,10,250,167.8944634878335,0.9996196833778531,False,0.03658767601023763,0.9635284603878723,51.20525375460316,0.9991759461468757,4.6764453789789586e-12,0.003301838721746597,0.9097129455919246,-1.0,0.0
11,E,11,250,127.62603274100923,0.6616194863091573,False,2.023631662996871,-0.9999999999999999,5.091310740996156,0.4287683098497649,0.03990718673000895,0.026017816712653966,0.4356157792743999,-0.9999999999999999,6.646897422032013e-64
11,G,11,250,735.5331851317939,0.7412100809574219,False,2.003539292676983,-0.9999998802627181,9.310419513287751,0.5802308998641157,0.01045615077757669,0.004677233465612417,0.5157869695159363,-0.9999999999999999,6.646897422032013e-64
11,K,11,250,336.4000884393206,0.9505948723099599,False,2.004579294373883,-0.9999998049591053,6.064289235151088,0.7594149690065114,0.001020290325415687,0.011130224460082477,0.7881451997196273,-0.9999999999999999,6.646897422032013e-64
11,L,11,250,1856.6405230890555,0.9506869595956309,False,0.47084187950251927,0.5295360975156919,44.44942049027879,0.9392575606917455,3.816467603726188e-06,0.0011109359724752036,0.7520185100515113,-0.9999999999999999,6.646897422032013e-64
11,S,11,250,469.6255091437079,0.9985908145265996,False,0.1115152560478461,0.8886294184874826,47.17032334854968,0.9965669247360097,3.803545636781948e-11,0.0010000005326707335,0.8917156064143372,-0.9999999999999999,6.646897422032013e-64
12,E,12,250,1865.6835058498198,0.9595844397265757,False,2.0012049739126976,-0.9999999954502002,14.361943325866983,0.9150157991824237,4.078322114763738e-06,0.00213900808497993,0.7623345017463469,-1.0,0.0
12,G,12,250,836.5632243117677,0.7176210595100027,False,2.0038286861112438,-0.999998716267148,10.77633716583908,0.5546677471952077,0.008549620942388514,0.004468839064624733,0.48910001833308525,-1.0,0.0
12,K,12,250,239.85463906051,0.8134220186165114,False,2.0072421538564655,-0.9999999999999999,6.4107937438807445,0.5587847614440142,0.008177122590685116,0.015538739797872932,0.5775691433434744,-1.0,0.0
12,L,12,250,2220.097029782879,0.9393978281719141,False,0.7664782725737037,0.23410643794516656,34.35597023206594,0.9232626661310652,2.5669347582475594e-06,0.0010000008938524474,0.7236218309939586,-0.990909090909091,3.762571807085399e-09
12,S,12,250,1825.6429449769205,0.9086108874042981,False,0.8530058569083335,0.14753491917599418,27.77659275359802,0.8670497812201391,3.122256037019306e-05,0.0010477510135938762,0.7068409246600929,-1.0,0.0
13,E,13,250,782.4306188085881,0.7866052440308752,False,2.0041213117154024,-0.9999997324708894,10.890951422053565,0.6070515382247484,0.0028180594209900045,0.005098242149318279,0.5524268066341631,-1.0,0.0
13,G,13,250,531.3215611396439,0.6753071704726847,False,2.0067291079042575,-0.9999998444751386,9.81142221368508,0.47594103700706064,0.01303705616098179,0.007253671663330842,0.44311466066798677,-1.0,0.0
13,K,13,250,153.07739957570703,0.7967331255037975,False,2.016904818941598,-0.9999999999999992,6.043756249700559,0.5345296352820484,0.00690029093151308,0.025738189395108975,0.5554563981553065,-1.0,0.0
13,L,13,250,1819.3166372376638,0.9448213002425391,False,0.7319140835616733,0.26881664323978677,30.921951966416835,0.9248376439242714,6.097738063504111e-07,0.0010000014662382287,0.7258339110402496,-0.9930069930069931,1.3016730560634403e-10
13,S,13,250,685.1084393294475,0.6606156272423933,False,2.0051792973798825,-0.9999997656983719,10.889415267548276,0.48150682366141756,0.012306150539991127,0.005607714825853526,0.4302042673211146,-1.0,0.0
14,E,14,250,1026.0526802487798,0.7850536125646743,False,2.0035868870345723,-0.999999999178481,13.238608280877333,0.6086381259494722,0.0016550484806684557,0.004145807403697019,0.5508138536789118,-1.0,0.0
14,G,14,250,1232.8750744344502,0.7445196045170849,False,2.0027656487627,-0.9999998678368623,14.658416014613584,0.5844304412627742,0.0023393700809694203,0.0034209476542796124,0.5131463177506702,-1.0,0.0
