,n,log_n,sqrt_n,hydrophobicity,hydrophobicity_x_n,hydrophobicity_x_log_n,charge,charge_x_n,charge_x_log_n,mw,mw_x_n,mw_x_log_n,volume,volume_x_n,volume_x_log_n,flexibility,flexibility_x_n,flexibility_x_log_n,abs_charge,cat_PolyX_original,is_homopolymer,is_linker,is_heteropolymer,is_dms,complexity,cat_L1_hydrophobic,cat_linker,cat_HET_BLOCK,cat_HET_ALT,cat_HET_COMP,cat_HET_KAPPA,cat_HET_IDP,cat_DMS_protein,complexity_x_n,hydrophobicity_x_charge,hydrophobicity_abs
local_stiffness,7.967205958842816,-1.2982100565428296,-7.983929231347287,0.37472094939454603,-0.6742378536768538,-0.00030918572087918806,-0.06816858364616481,0.12014867329941814,-0.23929313341089148,-0.06951916548126542,-2.245033112777719,0.6376752452963548,-1.6768692603400104,0.5879837449743831,2.5213030435204926,-2.9819804872691367,-3.405525042024234,6.360548887499405,-0.43526101939185,-0.05563466247018537,-0.0269600894508548,-0.03955925757311668,0.04097601639450131,0.0775802948230073,0.08821181526915667,0.028508137829788536,-0.03955925757241317,-0.04755098805380216,-0.04015281944773832,0.003786652110273168,0.03330857145620064,0.0944584057934006,0.0775802948229095,-0.34697812587037824,0.09008399270086398,-0.17048923694302776
fluct_range_ratio,-4.038721965236865,2.6823216808031582,0.9749143481271073,0.30946596780419483,0.007551934621353105,-0.41062568411498546,-0.029808004686125475,-0.14802752158541943,0.24033606988106435,-0.5704651007738893,-0.9789654645009689,-0.9626185846626867,1.1978771872968588,3.313270952322292,-1.6084222729023774,0.3349770659523512,2.4374443983197733,-2.348512556101387,0.6936939510646406,0.09893835115290714,0.233053826802016,-0.1632443131127647,-0.18011769353674872,0.22400913504759504,-0.11564840428653098,0.16281548136526322,-0.1632443131131673,-0.04133332015849391,-0.06923072894646258,-0.12925492652619916,-0.2285148559542433,-0.01708537800421893,0.22400913504912995,0.48812719735547433,-0.0052965199348854125,-0.8898419735090038
rmsf_entropy,2.78617320008802,0.6984530246304735,-2.9824600157513843,-1.1170278352951106,-0.9095487978631707,1.9621851118493965,-0.22418918152487352,-0.13327143470186373,0.574228048431673,-1.539471262431321,-1.9973630899868442,3.215952440992301,1.1802933635840647,1.0702071403316662,-1.8370254256325829,-0.7752131794108125,-0.924132520821165,1.5186252901772257,-0.04803898199405543,-0.044277662862037694,-0.0797064051668693,-0.06923814173314347,0.09229350867295338,0.205220216996288,0.1876552755817243,-0.04449933141065944,-0.0692381417323678,-0.0349486302546338,-0.022216626779835127,-0.05998658885505806,-0.046644705018095825,0.19794057934836232,0.2052202169951026,-0.2974557600106577,0.2263309430535187,-0.26974241220425405
mardia_skewness,-7.689111154378384,2.7212236121898568,3.7953471933807426,0.8783762373087965,0.6421270944928977,-1.0066226071729731,-0.16248538635673573,-0.3764899352092799,0.7853726341767976,0.6717767027104159,2.413452082226971,-2.197203752914042,0.0749522878373646,1.022633758577667,-1.2415724831537047,0.7423376910837294,3.380193201966163,-3.207961674027638,0.5227851143619524,0.07782003302632685,0.1414663622518641,-0.09109199215372245,-0.1377309449802079,0.24654580601173473,-0.03345089462348162,0.07979985921244674,-0.0910919921559905,-0.026680923142688676,-0.004632380720687194,-0.3258632915876425,-0.38140852019081944,0.12610644971765866,0.24654580601388867,1.0589645304965267,0.13585072374158552,-0.2367043200470389
mardia_kurtosis,-7.2907883747565885,3.9931330076915765,2.8433188016785533,0.7524396109620948,0.6765275309344829,-1.1099456870760331,-0.17672899527050204,-0.3537703212450873,0.7441995814343731,0.6464025041216857,2.6051831963880336,-2.456028615493457,0.42397901738977317,0.9138301614849011,-1.3918229974802585,1.0158406890207348,3.5203627505199298,-3.7036661596976104,0.32476831186041616,0.05076898097050705,0.09677436845180602,-0.09674201042883757,-0.08583407055565616,0.24654645750957876,0.019077186352623027,0.05723170353493156,-0.09674201042946151,-0.014746827856842424,0.0009871379440514407,-0.3115731300238559,-0.3560446760786409,0.16581061808486625,0.24654645750885806,0.8810869383304812,0.1600859250382492,-0.16406697339229456
mean_pc_skewness,-5.705844866414795,0.31176420167466545,5.579259942486672,0.18957643862227977,0.8628646017050989,-0.5250214231147736,-0.25665046515646056,0.024065552194854165,0.5315262988441917,0.750157438706977,3.177346961297806,-1.8148663514844368,0.6407008309977669,-1.1970636409633428,-1.2226274580473662,1.9793127289558519,1.7630762663732158,-3.4918906606578037,0.5257915671857843,0.017682410247102338,-0.011878217112000534,0.10298518715931682,-0.02948829413529152,-0.14963691292134462,-0.09697725456470487,-0.03264520840726576,0.10298518715841508,0.06905134741737846,0.03685768769380775,0.022059872739044042,0.03415386212891882,-0.12751445980313436,-0.14963691292166023,0.3353622752849128,0.22974343722339333,0.2899502003974994
mean_pc_kurtosis,-6.191285923026824,1.0393862201136304,5.545306262607566,-0.055582901042524765,0.8136002224869181,-0.28496141876934333,-0.34799344867506105,-0.1286454258475919,0.8726462301287465,0.5781543759039968,3.323508779521328,-1.7428543702070023,1.1014881144961224,-1.0348756043594967,-1.8976320283460297,2.168502378757659,2.100090354346604,-4.0935257869540935,0.4952960404980641,0.02408204047390011,0.006223731637354432,0.09312420565893242,-0.041515527869592214,-0.15150346056915726,-0.11033775673491984,-0.01862195991961777,0.09312420565808446,0.06080865500331284,0.03558401567069362,0.022789495010257205,0.021622520898270433,-0.13250103437653984,-0.1515034605692596,0.35017069969677833,0.3225111974400013,0.28595603713127626
corr_dim,3.9698481352750843,-1.1107792549692124,-1.4995543056086775,-0.3799257206810504,-0.06121490878354551,0.407005778085052,-0.08816391357899166,-0.2697130080343005,0.2737904105570978,-0.2173255944815049,-0.2558067581251076,0.3639785491263303,-0.07897402399453828,-1.7778907523519425,1.3034323037999638,-0.2533106060889395,-1.9334170265086568,1.3899605466810594,-0.13696198754017322,-0.02620148293046121,-0.04841857858217032,0.03470147695077325,0.0921238215233036,-0.3153633925891971,-0.011154520523587485,-0.027776765151372736,0.03470147695173311,0.009034901512601778,0.01705963641548727,0.10589253643086446,0.14932693123014235,-0.0006356155051767343,-0.3153633925880225,-0.48321714646975955,0.09497466285673771,-0.029302630667165278
mean_knn_dist,-5.017885213536197,1.2740492816173266,2.900058188196117,0.5041240302873553,0.17379333189823606,-0.8175467698409352,0.0018083708901622897,0.11308946785816308,0.1101941406951924,0.6825178589374399,0.1512197313632983,-1.1849623331012982,-0.39158340444620715,1.8509336014864328,-0.6542849244297791,0.5155993280591289,2.3849520673863642,-2.1026220607431494,0.11503408201116577,0.0019986832219609676,0.029360469575021645,-0.04381816815845949,-0.06190068874736541,0.2991171560020326,0.03731812789723302,0.031724357213513736,-0.0438181681597053,-0.007884920896423552,0.00501230187349786,-0.12991712804081587,-0.1669252851297915,0.04071537055887002,0.29911715600327465,0.49009585485561635,-0.007621062653080483,0.1790825577937627
cv_knn_dist,1.7463791023562938,-1.513228642048999,1.1769301783943806,-1.3278227558403415,-0.35575905002713604,0.9829100737868169,-0.09943014614767712,-0.2777078426785397,0.1471834083467571,-1.5095260581983043,-0.48286275558968617,-0.004238972512222191,1.4340466242341634,-1.510675003491044,1.428280086341944,0.07793901084879434,-0.9703861103880217,-0.12492415103934322,-0.1120874814539949,0.01625530651717137,0.17819488939383502,-0.06942764058302663,-0.09930953856192476,-0.20651476933859528,-0.17055016048310756,0.188122568795969,-0.06942764058240612,-0.05864366866160552,-0.08510632788430028,0.0754659884901812,0.08989594969099796,-0.10028343867545093,-0.2065147693407747,-0.38094121224145866,0.10496907877300532,-0.6371259267973993
